# $Id$
# PcbXY Version 1.0
# Date: Sun 17 Oct 2010 23:32:30 GMT UTC
# Author: Richard Barlow
# Title: (unknown) - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mils.  rotation in degrees.
# --------------------------------------------
S/F3,"1206","sr-fuse-r50-1206",663.38,2143.72,0,bottom
S/F4,"1206","sr-fuse-r50-1206",663.38,2045.30,0,bottom
S/S/J2,"8P8C","sr-cn-8p8c",401.42,1993.52,180,top
S/D7,"SOT23","sr-d-mmbz5v6al",828.74,1905.98,0,top
S/D8,"SOT23","sr-d-mmbz5v6al",828.74,2101.93,180,top
S/D9,"SOT23","sr-d-mmbz5v6al",756.27,1384.11,180,top
LED103,"sr_0603_led","sr-led-red-0603",572.83,432.73,90,top
J100,"JUMPER4","sr-cn-header4",327.17,750.02,0,top
C1,"RCY200P_2","sr-c-1m",2131.50,2163.40,180,top
D101,"SOT23","sr-d-mmbz5v6al",1708.43,582.33,90,top
D100,"SOT23","sr-d-mmbz5v6al",1580.94,582.33,270,top
D104,"SOT23","sr-d-mmbz5v6al",1708.43,751.62,90,top
C103,"0805","sr-c-2u2-0805",1763.78,598.45,270,bottom
D103,"SOT23","sr-d-mmbz5v6al",1580.94,405.90,270,top
J101,"8P8C","sr-cn-8p8c",1968.65,622.27,0,top
D102,"SOT23","sr-d-mmbz5v6al",1708.43,405.90,90,top
F104,"1206","sr-fuse-r50-1206",2021.64,937.03,180,bottom
F103,"1206","sr-fuse-r50-1206",2021.66,840.57,180,bottom
D105,"SOT23","sr-d-mmbz5v6al",1580.94,751.62,270,top
R112,"1206","sr-r-100-1206",2226.37,665.37,180,bottom
F102,"1206","sr-fuse-r50-1206",1822.83,415.38,180,bottom
F101,"1206","sr-fuse-r50-1206",1822.83,322.86,180,bottom
C100,"0805","sr-c-2u2-0805",1106.30,661.44,90,top
Q2,"SO8","sr-fet-n-irf8721",1885.69,1388.01,180,bottom
Q4,"SO8","sr-fet-n-irf8721",1885.69,1179.35,0,bottom
Q7,"SO8","sr-fet-n-irf8721",1449.15,2014.18,180,bottom
Q5,"SO8","sr-fet-n-irf8721",1885.69,1624.23,0,bottom
Q3,"SO8","sr-fet-n-irf8721",1885.69,1832.89,180,bottom
R30,"2512","sr-r-3m5-2512",1559.05,1672.27,270,bottom
D1,"DO214AC","sr-d-smaj16a",1541.34,2242.13,180,bottom
Q1,"SOT23","sr-fet-n-bss123",1273.63,1657.94,270,bottom
U101,"TSSOP38","sr-ic-msp430f2254",875.98,543.34,270,top
